Name,Months
"Machine tools (grinding machines, lathes, milling machines etc): Conventional or manual machines",240
Mini-skid steer loaders (with a carrying capacity less than or equal to 1100 kg),60
Mini-skid steer loader attachments: Others (including auger and bucket),60
Mini-skid steer loader attachments: Stump grinders,24
Motor graders,120
Motor vehicles and trailers: Buses having a gross vehicle mass of more than 3.5 tonnes,180
Motor vehicles and trailers: Cars (motor vehicles designed to carry a load of less than one tonne and fewer than 9 passengers): Generally,96
"Motor vehicles and trailers: Cars (motor vehicles designed to carry a load of less than one tonne and fewer than 9 passengers): Hire cars: Cars used to provide basic service ride-sourcing, ride-hailing or ride-sharing services (e.g. uberX)",96
"Motor vehicles and trailers: Cars (motor vehicles designed to carry a load of less than one tonne and fewer than 9 passengers): Hire cars: Generally (including cars used to provide premium service ride-sourcing, ride-hailing or ride-sharing services e.g. UberBLACK)",72
Motor vehicles and trailers: Cars (motor vehicles designed to carry a load of less than one tonne and fewer than 9 passengers): Rental cars,60
Motor vehicles and trailers: Cars (motor vehicles designed to carry a load of less than one tonne and fewer than 9 passengers): Taxis,48
Motor vehicles and trailers: Light commercial vehicles designed to carry a load of one tonne or greater and having a gross vehicle mass of 3.5 tonnes or less,144
Motor vehicles and trailers: Limousines: Sedan limousines,72
Motor vehicles and trailers: Limousines: Stretch limousines,144
Motor vehicles and trailers: Minibuses having a gross vehicle mass of 3.5 tonnes or less and designed to carry 9 or more passengers,144
Motor vehicles and trailers: Motorcycles (including courier motorcycles and mailbox delivery motorcycles),84
Motor vehicles and trailers: Scooters,36
Motor vehicles and trailers: Trailers having a gross vehicle mass greater than 4.5 tonnes,180
"Motor vehicles and trailers: Trailers having a gross vehicle mass of 4.5 tonnes or less: Aluminium, galvanised steel, galvanised hot dipped steel and powder coated trailers",120
Motor vehicles and trailers: Trailers having a gross vehicle mass of 4.5 tonnes or less: Mild steel trailers (painted and unpainted),60
Motor vehicles and trailers: Trucks having a gross vehicle mass greater than 3.5 tonnes (excluding off highway trucks used in mining operations),180
Moving walks,240
"Musical instruments and associated equipment: Brass instruments (including bugles, cornets, euphoniums, horns, sousaphones, trombones, trumpets and tubas)",120
"Musical instruments and associated equipment: Keyboard instruments (including accordions, concertinas, organs, pianolas and pianos): Acoustic",120
"Musical instruments and associated equipment: Keyboard instruments (including accordions, concertinas, organs, pianolas and pianos): Electric",60
"Musical instruments and associated equipment: Percussion instruments (including chimes, cymbals, drums, gongs, maracas and tambourines)",60
"Musical instruments and associated equipment: Stringed instruments (including banjos, basses, cellos, guitars, harps, mandolins, tiples, ukuleles, violas and violins)",120
"Musical instruments and associated equipment: Woodwind instruments (including bagpipes, bassoons, clarinets, flutes, oboes, pan pipes, piccolos and recorders)",120
"Office furniture, freestanding: Bookcases: Metal",240
"Office furniture, freestanding: Bookcases: Timber",180
"Office furniture, freestanding: Cabinets (including credenzas, cupboards, filing, mapping, mobile, stationery and storage type): Metal",240
"Office furniture, freestanding: Cabinets (including credenzas, cupboards, filing, mapping, mobile, stationery and storage type): Timber/laminated",180
"Office furniture, freestanding: Chairs",120
"Office furniture, freestanding: Desks",240
"Office furniture, freestanding: Mobile storage units (compactus type)",300
"Office furniture, freestanding: Reception assets (including lobby chairs, desks, lounges, sofas and tables)",120
"Office furniture, freestanding: Screens",240
"Office furniture, freestanding: Tables: Boardroom",240
"Office furniture, freestanding: Tables: General",120
"Office furniture, freestanding: Workstations (including desks and partitions)",240
Office machines and equipment: Electronic whiteboards,72
Office machines and equipment: Enveloping machines,72
Office machines and equipment: Facsimile machines,60
Office machines and equipment: Letter folding and inserting machines (including envelope inserters and letter inserters - desktop/low volume units),60
Office machines and equipment: Mailing machines,60
"Office machines and equipment: Multi function machines (includes fax, copy, print and scan functions)",60
Office machines and equipment: Photo copying machines,60
Office machines and equipment: Projectors (including lenses),60
Office machines and equipment: Shredders,180
Office machines and equipment: Trolleys,180
Office machines and equipment: Whiteboards,120
"Packaging machines: Bagging machines (including flow wrappers, form fill and seal machines, and roll wrapping machines)",120
Packaging machines: Bag sewers,84
"Packaging machines: Carton erecting, packing and closing machines (including cartoners)",120
"Packaging machines: Case erecting, packing and closing machines (including casepackers)",120
